S. No.	Product Name	Product Code	MFR No.	BPR No.	Revision No.	Effective Date	Remarks
1.		SODIUM BI CARBONATE  INJECTION 1 ML	FAMP-0029	MFR/LA/001	BPR/LA/001	01	08/03/2025	ok
2.		ONDIRON 2 ML INJECTION 	FAMP-0007	MFR/LA/003	BPR/LA/003	05	10/05/2024	OK
3.		ONDIVID 2 ML INJECTION 	FAMP-0015	MFR/LA/004	BPR/LA/004	03	14/08/2023	ADL
4.		ALBEFENAC 3 ML  INJECTION	FAMP-0014	MFR/LA/005	BPR/LA/005	03	27/07/2023	ADL
5.		MICABAL INJECTION 	FAMP-0013	MFR/LA/006	BPR/LA/006	01	08/02/19	OK
6.		ARTHEFAN INJECTION 1 ML	FAMP-0028	MFR/LA/007	BPR/LA/007	00	04/12/18	OK
7.		BINTAC INJECTION 2 ML 	FAMP-0002	MFR/LA/008	BPR/LA/008	00	25/12/18	OK
8.		ETHAMO INJECTION 2 ML	FAMP-0031	MFR/LA/009	BPR/LA/009	00	28/01/19	OK
9.		ALBEFENAC 1 ML INJECTION 	FAMP-0018	MFR/LA/010	BPR/LA/010	02	26/07/2023	OK
10.		OMT INJECTION 2 ML	FAMP-0026	MFR/LA/011	BPR/LA/011	00	10/01/19	OK
11.		DICLOFEN 1 ML INJECTION	FAMP-0006	MFR/LA/013	BPR/LA/013	00	30/01/19	OK
12.		TRONAC INJECTION 1 ML	FAMP-0027	MFR/LA/014	BPR/LA/014	00	01/02/19	OK
13.		ONDIRON 4 ML INJECTION 	FAMP-0008	MFR/LA/015	BPR/LA/015	01	12/08/19	OK
14.		MICABAL – PLUS  INJECTION 2 ml	FAMP-0012	MFR/LA/091	BPR/LA/091	03	07/07/2025	OK
15.		RANIAL INJECTION 2ML	FAMP-0045	MFR/LA/017	BPR/LA/017	03	26/07/2023	ADL
16.		DYPEN 3ML	FAMP-0035	MFR/LA/018	BPR/LA/018	 02	29/01/2021	OK
17.		DYPEN-AQ INJ. 	FAMP-0024	MFR/LA/019	BPR/LA/019	01	21/01/2021	OK
18.		FENCO-AQ INJ.1ML	FAMP-0025	MFR/LA/020	BPR/LA/020	00	28/02/19	OK
19.		NABOVID 50MG INJECTION	FAMP-0017	MFR/LA/021	BPR/LA/021	03	07/01/2021	Discontinue
20.		NEBOVID 25 MG INJECTION	FAMP-0016	MFR/LA/022	BPR/LA/022	03	26/12/2020	Discontinue
21.		D.D CO 25MG INJECTION	FAMP-0023	MFR/LA/023	BPR/LA/023	00	07/03/19	Discontinue
22.		DECALAB 25MG INJECTION	FAMP-0038	MFR/LA/024	BPR/LA/024	00	06/03/19	Discontinue
23.		ONCO 2ML INJECTION	FAMP-0036	MFR/LA/025	BPR/LA/025	02	29/12/2025	OK
24.		D.D.CO 50MG INJECTION	FAMP-0022	MFR/LA/026	BPR/LA/026	00	07/03/19	Discontinue
25.		DECALAB 50MG INJECTION	FAMP-0039	MFR/LA/027	BPR/LA/027	00	09/03/19	Discontinue
26.		ONDOC 2ML INJECTION	FAMP-0037	MFR/LA/028	BPR/LA/028	02	07/04/2026	OK
27.		FERGLOW INJECTION	FAMP-0011	MFR/LA/029	BPR/LA/029	02	03/01/2020	OK
28.		DECANEVOL 50MG INJECTION	FAMP-0019	MFR/LA/031	BPR/LA/031	00	20/03/19	Discontinue
29.		DECONATE 50MG INJECTION	FAMP-0020	MFR/LA/032	BPR/LA/032	00	20/03/19	Discontinue
30.		RELIEF-Q INJECTION 3ML	FAMP-0054	MFR/LA/033	BPR/LA/033	04	15/02/2025	OK
31.		MEDSETRON INJECTION IP	FAMP-0021	MFR/LA/034	BPR/LA/034	00	25/03/19	OK
32.		DICLOBEST 3ML	FAMP-0034	MFR/LA/035	BPR/LA/035	03	10/04/2024	OK
33.		DICLOBEST 1ML	FAMP-0040	MFR/LA/036 	BPR/LA/036	02	22/03/2024	OK
34.		MECOEDGE-PLUS INJECTION 	FAMP-0050	MFR/LA/037	BPR/LA/037	03	06/01/2021	OK
35.		MECODAY-PLUS	FAMP-0049	MFR/LA/038	BPR/LA/038	00	29/03/19	OK
36.		ALBMOL INJECTION	FAMP-0047	MFR/LA/039	BPR/LA/039	02	02/02/2025	OK
37.		BIOCETAMOL INJECTION	FAMP-0046	MFR/LA/040	BPR/LA/040	03	04/02/2025	OK
38.		FARO-S INJECTION	FAMP-0010	MFR/LA/041	BPR/LA/041	00	12/03/19	OK
39.		ACTIVA 3ML INJECTION	FAMP-0032	MFR/LA/042	BPR/LA/042 	02	01/02/2021	OK
40.		TVSEK Injection 5 ml	FAMP-0053	MFR/LA/043	BPR/LA/043	04	25/06/2025	    Neo universe
41.		CITIACE INJECTION	FAMP-0052	MFR/LA/044	BPR/LA/044	00	09/04/19	OK
42.		VITA D3 -Q	FAMP-0055	MFR/LA/045	BPR/LA/045	03	31/01/2025	Afghanistan
43.		CALCIDOC- D3 6L	FAMP-0051	MFR/LA/046	BPR/LA/046	00	10/04/19	OK
44.		METHYLER 1 ML INJECTION	FAMP-0042	MFR/LA/047	BPR/LA/047	00	22/04/19	ZYDUS
45.		EMIGAN INJECTION	FAMP-0056	MFR/LA/048	BPR/LA/048	00 	27/04/19	OK
46.		BIODEBOL 100MG INJECTION	 FAMP-0041	MFR/LA/049	BPR/LA/049	02	14/01/2021	Discontinue
47.		ZYDICLO 3ML INJECTION	FAMP-0033	MFR/LA/050	BPR/LA/050	00	01/05/19	OK
48.		ALBEMETH-PLUS (SYRINGE PACK)	FAMP-0058	MFR/LA/051	BPR/LA/051	03	28/04/2026	OK
49.		ATROPINE INJ BP 1ML	HMF-0205	MFR/LA/052	BPR/LA/052	00	10/10/2020	OK
50.		BIODEBOL 25MG INJECTION	FAMP-0003	MFR/LA/052	BPR/LA/052	00	08/05/19	OK
51.		TOGORELS INJECTION 	FAMP-0060	MFR/LA/053	BPR/LA/053	02	07/07/2022	OK
52.		IROBEST  INJECTION 5 ML	FAMP-0059	MFR/LA/054	BPR/LA/054	02	04/12/2021	OK
53.		MICABAL-PLUS (SYRINGE PACK)	FAMP-0057	MFR/LA/055	BPR/LA/055	02	23/12/2024	OK
54.		IROFORTE 5ML INJECTION	FAMP-0062	MFR/LA/056	BPR/LA/056	02	15/12/2021	OK
55.		ALBEMETH-PLUS INJECTION	FAMP-0058	MFR/LA/057	BPR/LA/057	00	07/06/19	OK
56.		UNORIN 2 ML INJECTION	FAMP-0070	MFR/LA/058	BPR/LA/058	03	06/03/2024	GLENSMITH
57.		ONDASTRONG 2ML INJECTION	FAMP-0069	MFR/LA/059	BPR/LA/059	03	18/03/2024	OK
58.		EROD-M INJECTION	FAMP-0064	MFR/LA/060	BPR/LA/060	01	29/04/2024	OK
59.		TRAINEX INJECTION	FAMP-0072	MFR/LA/061	BPR/LA/061	04	12/08/2025	Skymap
60.		BOLICETA 2ML INJECTION	FAMP-0066	MFR/LA/062	BPR/LA/062	02	06/02/2025	OK
61.		DICLOEDGE INJECTION	FAMP-0067	MFR/LA/063	BPR/LA/063	02	17/11/2023	OK
62.		STRACHOL INJECTION	FAMP-0071	MFR/LA/064	BPR/LA/064	00	28/06/19	OK
63.		DICLOEDGE 3ML INJECTION	FAMP-0068	MFR/LA/065	BPR/LA/065	03	06/04/2024	OK
64.		BIO-MAL 2 ML INJECTION	FAMP-0005	MFR/LA/066	BPR/LA/066	03	29/03/2025	OK
65.		PRESETRON 2ML INJECTION	FAMP-0073	MFR/LA/067	BPR/LA/067	01	20/07/2021	OK
66.		METHABEST 1 ML INJECTION	FAMP-0078	MFR/LA/068	BPR/LA/068 	01	13/03/2021	OK
67.		RANIBEST  INJECTION 2 ML	FAMP-0079	MFR/LA/069	BPR/LA/069 	03	06/03/2024	QUALITY BESTOCHEM
68.		EMCEF 2ML INJECTION	FAMP-0082	MFR/LA/070	BPR/LA/070 	02	30/06/2022	OK
69.		PAINCOM 2ML INJECTION	FAMP-0076	MFR/LA/071	BPR/LA/071 	04	19/01/2025	OK
70.		ACITOL –D3 6L 	FAMP-0065	MFR/LA/072	BPR/LA/072 	03	19/01/2025	OK
71.		BIOSPAN INJECTION	FAMP-0083	MFR/LA/073	BPR/LA/073 	00	29/08/19	OK
72.		CALBERT 6L INJECTION	FAMP-0085	MFR/LA/074	BPR/LA/074	02	19/01/2025	OK
73.		SKYTAC INJECTION 2 ML	FAMP-0087	MFR/LA/075	BPR/LA/075	05	11/07/2025	SKYMAP
74.		BIOTRAM 2ML	FAMP-0075	MFR/LA/076	BPR/LA/076	02	13/01/2021	OK
75.		TRAMABEST INJ 2ML	FAMP-0080	MFR/LA/077	BPR/LA/077	00	17/10/19	OK
76.		FALCIDE INJ 2ML	FAMP-0090	MFR/LA/078	BPR/LA/078	02	29/04/2024	OK
77.		BIOTRAM 1ML	FAMP-0081	MFR/LA/079	BPR/LA/079	00	22/10/19	OK
78.		NEW MECOBA PLUS	FAMP-0091	MFR/LA/080	BPR/LA/080	00	30/10/19	OK
79.		CLINRIGHT 600	FAMP-0089	MFR/LA/081	BPR/LA/081	02	24/09/2024	OK
